Obs,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,10:52:49,2025-07-23,Manual gsw+F,LI-COR Default,,001,,,0.001743,2.276041,0.001742,0.043456,1.076161,1.074670,3.025807,1.949646,13.399453,13.418054,37.727093,0.441786,7.500000,PSF-00232_20250723105249_cb5,0.000000,0.000000,0.000000,56.755901,79.532982,0.286385,0.5,0.80,219.406616,1.000000,42.58,42.52,21.21,24.17,24.17,80.20,101.8,101.2,0.6,1915,4.094,10:44:35,2025-07-23,-0.03,1,0.000,0.001,0.001,0.076,0.171,-0.276,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,-9999.000000,-9999.000000,300,300,300,77.348114,25,-1.382078,77.462555,77.552589,-0.090034,2.472813,2.481461,1.211982,0.799626,0.317447,0.034374,0.086113,1.703807,56.755901,0.000639,2.400430,-0.000041,1.000000,2.408421,-0.000039,1.000000,0.600250,0.601702,0.107071,0.000000,PSF-00232_20250723105249_cb5,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
2,10:54:36,2025-07-23,Manual gsw+F,LI-COR Default,,002,,,-0.005122,2.264553,-0.005134,-0.104603,1.084315,1.087931,2.679940,1.595625,13.566366,13.521270,33.418518,0.441786,7.500000,PSF-00232_20250723105436_fce,0.000000,0.000000,0.000000,81.244110,203.884842,0.601520,0.5,0.80,439.785583,1.000000,41.92,42.06,21.58,22.16,22.16,80.19,101.1,95.1,6.0,1828,4.093,10:44:35,2025-07-23,-0.03,1,0.001,0.000,-0.001,-11.678,-7.500,8.654,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,-9999.000000,-9999.000000,300,300,300,200.590256,25,-2.220031,202.142715,200.703735,1.438980,2.472060,2.480410,1.206635,0.786208,0.312708,0.007000,0.096039,1.630862,81.244110,0.000627,2.400430,-0.000041,1.000000,2.408421,-0.000039,1.000000,0.600250,0.601702,0.107071,0.000000,PSF-00232_20250723105436_fce,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
3,10:55:27,2025-07-23,Manual gsw+F,LI-COR Default,,003,,,0.002086,2.332734,0.002085,0.063718,1.036748,1.034637,3.420075,2.383327,12.900627,12.926951,42.644058,0.441786,7.500000,PSF-00232_20250723105527_698,0.000000,0.000000,0.000000,95.756294,110.979805,0.137174,0.5,0.80,111.070045,1.000000,39.51,39.43,21.82,26.23,26.23,80.20,105.6,69.4,34.3,2024,4.091,10:55:12,2025-07-23,0.09,1,0.000,0.001,0.002,0.240,-0.105,-0.444,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,-9999.000000,-9999.000000,300,300,300,109.469177,25,-1.009352,109.974144,109.533493,0.440651,2.468101,2.476575,1.239092,0.732351,0.309747,0.051552,0.100464,1.794636,95.709801,0.000614,2.400430,-0.000041,1.000000,2.408421,-0.000039,1.000000,0.600250,0.601702,0.107071,0.000000,PSF-00232_20250723105527_698,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
4,10:56:07,2025-07-23,Manual gsw+F,LI-COR Default,,004,,,0.030515,2.261568,0.030109,0.779418,1.045015,1.018006,3.067568,2.022553,12.695395,13.032222,38.255184,0.441786,7.500000,PSF-00232_20250723105607_02d,0.000000,0.000000,0.000000,78.009727,111.814972,0.302332,0.5,0.80,233.710358,1.000000,39.38,38.36,22.00,24.40,24.40,80.19,100.9,91.1,9.7,1933,4.089,10:55:12,2025-07-23,0.09,1,0.000,-0.000,0.001,0.371,-0.327,-0.679,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,-9999.000000,-9999.000000,300,300,300,106.775162,25,-3.485121,107.259392,106.821114,0.438278,2.466475,2.476347,1.205254,0.777704,0.307489,0.027887,0.103835,1.718192,78.009727,0.000603,2.400430,-0.000041,1.000000,2.408421,-0.000039,1.000000,0.600250,0.601702,0.107071,0.000000,PSF-00232_20250723105607_02d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
5,10:57:47,2025-07-23,Manual gsw+F,LI-COR Default,,005,,,0.068291,2.415102,0.066413,1.441321,1.037739,0.992405,2.737458,1.699719,12.373004,12.938221,34.129803,0.441786,7.500000,PSF-00232_20250723105747_4d3,0.000000,0.000000,0.000000,113.700989,351.654816,0.676669,0.5,0.80,457.361237,1.000000,38.31,36.64,22.34,22.51,22.51,80.21,111.2,11.9,89.3,1690,4.085,10:55:12,2025-07-23,0.09,1,-0.001,-0.003,0.005,0.884,1.018,0.360,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,-9999.000000,-9999.000000,300,300,300,345.908752,25,-3.836082,346.058960,346.158051,-0.099091,2.463814,2.474668,1.280813,0.622813,0.303357,0.002296,0.112300,1.515768,113.700989,0.000622,2.400430,-0.000041,1.000000,2.408421,-0.000039,1.000000,0.600250,0.601702,0.107071,0.000000,PSF-00232_20250723105747_4d3,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
6,10:59:13,2025-07-23,Manual gsw+F,LI-COR Default,,006,,,0.003698,2.208518,0.003692,0.123565,1.064427,1.059997,3.670093,2.605666,13.212963,13.268184,45.748066,0.441786,7.500000,PSF-00232_20250723105913_691,0.000000,0.000000,0.000000,68.760391,75.589027,0.090339,0.5,0.80,70.427872,1.000000,38.44,38.28,22.70,27.43,27.43,80.22,97.5,86.3,11.5,1949,4.084,10:55:12,2025-07-23,0.09,1,-0.000,0.000,0.000,-0.153,-0.135,-0.031,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,-9999.000000,-9999.000000,300,300,300,75.213074,25,-0.253018,75.396538,75.226479,0.170059,2.466203,2.474788,1.181213,0.767506,0.298988,0.055658,0.119315,1.731885,68.760391,0.000617,2.400430,-0.000041,1.000000,2.408421,-0.000039,1.000000,0.600250,0.601702,0.107071,0.000000,PSF-00232_20250723105913_691,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
7,11:00:27,2025-07-23,Manual gsw+F,LI-COR Default,,007,,,-0.006327,2.159552,-0.006345,-0.147639,1.092741,1.098201,2.912761,1.820020,13.689266,13.621209,36.308079,0.441786,7.500000,PSF-00232_20250723110027_146,0.000000,0.000000,0.000000,82.622765,171.125671,0.517181,0.5,0.80,260.490051,1.000000,38.49,38.68,23.11,23.54,23.54,80.22,94.5,93.2,1.4,1259,4.081,10:55:12,2025-07-23,0.09,1,-0.001,-0.002,-0.001,0.252,0.457,0.945,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,-9999.000000,-9999.000000,300,300,300,167.254333,25,-2.655331,166.837692,167.320831,-0.483139,2.466709,2.474770,1.159842,0.782257,0.294079,0.005078,0.125017,1.156814,82.622765,0.000628,2.400430,-0.000041,1.000000,2.408421,-0.000039,1.000000,0.600250,0.601702,0.107071,0.000000,PSF-00232_20250723110027_146,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
8,11:00:49,2025-07-23,Manual gsw+F,LI-COR Default,,008,,,-0.004200,2.276168,-0.004208,-0.157769,1.075840,1.081260,3.990271,2.914431,13.471667,13.404142,49.715725,0.441786,7.500000,PSF-00232_20250723110049_d50,0.000000,0.000000,0.000000,76.661827,88.698776,0.135706,0.5,0.80,102.861557,1.000000,37.63,37.82,23.23,28.86,28.86,80.26,101.8,99.0,2.8,1895,4.081,10:55:12,2025-07-23,0.09,1,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,-9999.000,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,-9999.000000,-9999.000000,300,300,300,86.222649,25,-1.580230,85.273148,86.434448,-1.161301,2.465395,2.473451,1.212042,0.794673,0.292711,0.066907,0.126681,1.686822,76.661827,0.000611,2.400430,-0.000041,1.000000,2.408421,-0.000039,1.000000,0.600250,0.601702,0.107071,0.000000,PSF-00232_20250723110049_d50,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
9,11:01:09,2025-07-23,Manual gsw+F,LI-COR Default,,009,,,0.001009,2.264806,0.001009,0.034904,1.065598,1.064390,3.759221,2.693623,13.261902,13.276952,46.838474,0.441786,7.500000,PSF-00232_20250723110109_7b6,0.000000,0.000000,0.000000,32.705784,39.144516,0.164486,0.5,0.80,128.392136,1.000000,37.02,36.97,23.34,27.84,27.84,80.26,101.1,100.0,1.1,1951,4.080,10:55:12,2025-07-23,0.09,1,0.000,0.000,0.001,0.564,0.814,1.900,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,-9999.000000,-9999.000000,300,300,300,39.144516,25,0.293374,37.834167,39.564896,-1.730728,2.464110,2.472506,1.206753,0.796951,0.291390,0.053070,0.128111,1.733905,32.705784,0.000605,2.400430,-0.000041,1.000000,2.408421,-0.000039,1.000000,0.600250,0.601702,0.107071,0.000000,PSF-00232_20250723110109_7b6,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
10,11:02:02,2025-07-23,Manual gsw+F,LI-COR Default,,010,,,0.066650,2.347868,0.064810,1.714480,1.117679,1.061444,3.183416,2.065737,13.228608,13.929454,39.674416,0.441786,7.500000,PSF-00232_20250723110202_671,0.000000,0.000000,0.000000,91.556671,185.183182,0.505589,0.5,0.80,382.655487,1.000000,38.19,36.27,23.61,25.02,25.02,80.24,106.6,61.7,42.1,1892,4.079,10:55:12,2025-07-23,0.09,1,0.001,-0.000,0.004,1.115,0.158,-1.692,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,mpf,7000,500,-9999.000000,-9999.000000,300,300,300,171.846985,25,-9.320864,171.077011,171.827240,-0.750229,2.463002,2.474224,1.246542,0.716957,0.288244,0.016417,0.132276,1.684482,91.556671,0.000610,2.400430,-0.000041,1.000000,2.408421,-0.000039,1.000000,0.600250,0.601702,0.107071,0.000000,PSF-00232_20250723110202_671,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
