Obs,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,MEASUREMENT_HEADER_END
1,10:19:17,2025-08-28,Manual gsw+F,LI-COR Default,,1,,,0.000633,2.921965,0.000633,0.01538,0.844931,0.844585,2.760471,1.91554,10.472256,10.476545,34.22789,0.441786,7.5,PSF-00232_20250828101917_9b7,0,0,0,81.668259,336.655853,0.757413,0.5,0.8,19.746365,1,25.71,25.7,25.55,22.65,22.65,80.65,156.7,154.6,1.4,65,4.015,10:18:24,2025-08-28,0.28,1,0.002,0.001,-0.002,-4.418,-1.249,-3.253,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,336.655853,25,32.841579,313.765533,383.714844,-69.94931,2.446346,2.454276,1.643589,0.92428,0.266784,-0.03334,0.176969,0.161407,81.668259,0.000668,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828101917_9b7,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
2,10:20:21,2025-08-28,Manual gsw+F,LI-COR Default,,2,,,-0.009892,2.922678,-0.009926,-0.265532,0.843748,0.849718,2.950893,2.107146,10.53408,10.460059,36.582642,0.441786,7.5,PSF-00232_20250828102021_219,0,0,0,141.034485,405.591156,0.652274,0.5,0.8,14.78091,1,26.16,26.35,25.24,23.75,23.75,80.66,156.8,154.4,1.5,57,4.009,10:18:24,2025-08-28,0.28,1,0,-0.002,-0.003,0.058,0.084,0.247,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,403.547302,25,-1.614238,400.886902,403.278107,-2.391205,2.447416,2.455042,1.64434,0.92386,0.270151,-0.017128,0.183716,0.1543,141.034485,0.000665,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102021_219,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
3,10:21:43,2025-08-28,Manual gsw+F,LI-COR Default,,3,,,0.00426,2.922702,0.004253,0.10087,0.879984,0.877717,2.749868,1.869884,10.881312,10.909418,34.090927,0.441786,7.5,PSF-00232_20250828102143_b89,0,0,0,85.031387,415.746216,0.795473,0.5,0.8,18.908733,1,27.93,27.86,24.85,22.59,22.59,80.66,156.8,153.8,1.9,59,4.01,10:18:24,2025-08-28,0.28,1,0.001,0.001,-0.001,0.12,0.225,0.549,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,405.755981,25,-6.743525,408.236511,406.083374,2.153137,2.449862,2.457916,1.644365,0.922472,0.274405,-0.025824,0.192053,0.156613,85.031387,0.000644,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102143_b89,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
4,10:22:20,2025-08-28,Manual gsw+F,LI-COR Default,,4,,,0.005641,2.922093,0.005631,0.133133,0.865478,0.862484,2.730404,1.864926,10.691437,10.728557,33.846375,0.441786,7.5,PSF-00232_20250828102220_cd6,0,0,0,111.314178,335.321198,0.668037,0.5,0.8,22.181307,1,27.78,27.68,24.66,22.47,22.47,80.67,156.8,130.3,16.8,83,4.008,10:18:24,2025-08-28,0.28,1,0,0,0.008,-0.655,-1.048,5.313,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,335.321198,25,2.218217,335.292938,338.499695,-3.206757,2.449611,2.457701,1.643724,0.865677,0.276444,-0.024988,0.195673,0.176273,111.314178,0.000669,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102220_cd6,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
5,10:22:56,2025-08-28,Manual gsw+F,LI-COR Default,,5,,,0.022583,2.921199,0.02241,0.521623,0.823509,0.811763,2.660597,1.837088,10.063036,10.208653,32.982166,0.441786,7.5,PSF-00232_20250828102256_e14,0,0,0,87.362053,372.607849,0.765539,0.5,0.8,21.950153,1,26.69,26.31,24.5,22.04,22.04,80.67,156.6,122.1,22,72,4.008,10:18:24,2025-08-28,0.28,1,0.001,0.001,0.002,0.477,0.232,0.552,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,367.732635,25,-3.917701,366.32074,366.994141,-0.673401,2.44747,2.455997,1.642784,0.846522,0.278259,-0.027878,0.198979,0.16683,86.895706,0.000661,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102256_e14,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
6,10:23:26,2025-08-28,Manual gsw+F,LI-COR Default,,6,,,-0.001126,2.922416,-0.001126,-0.02847,0.781341,0.781982,2.775268,1.993927,9.693858,9.685914,34.403687,0.441786,7.5,PSF-00232_20250828102326_cd3,0,0,0,152.138824,311.217438,0.511149,0.5,0.8,38.186882,1,25.53,25.55,24.36,22.74,22.74,80.67,156.8,153.5,2.1,187,4.006,10:18:24,2025-08-28,0.28,1,-0.001,-0.002,0.002,0.244,0.514,0.659,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,308.714752,25,-1.543502,308.205841,309.005737,-0.799896,2.44628,2.454154,1.644064,0.921657,0.279759,-0.018489,0.201817,0.262775,152.402039,0.000649,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102326_cd3,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
7,10:23:32,2025-08-28,Manual gsw+F,LI-COR Default,,7,,,-0.092689,2.923256,-0.095724,-0.768916,0.757546,0.774847,1.396852,0.639306,9.605653,9.391173,17.31654,0.441786,7.5,PSF-00232_20250828102332_efd,0,0,0,1.701236,1.71876,0.010196,0.5,0.8,0.45803,1,24.78,25.35,24.34,11.88,11.88,80.67,156.9,-10.6,106.7,112,4.006,10:18:24,2025-08-28,0.28,1,-9999,-9999,-9999,-9999,-9999,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,1.71876,25,-0.001615,1.71268,1.716445,-0.003765,2.445964,2.452955,1.644949,0.58342,0.280007,-0.134386,0.202241,0.200701,1.701236,0.000658,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102332_efd,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
8,10:23:54,2025-08-28,Manual gsw+F,LI-COR Default,,8,,,-0.000816,2.921083,-0.000816,-0.01915,0.777735,0.778166,2.630258,1.852523,9.646736,9.641387,32.60667,0.441786,7.5,PSF-00232_20250828102354_9f4,0,0,0,72.914597,325.925232,0.776284,0.5,0.8,28.538168,1,25.59,25.6,24.25,21.86,21.86,80.67,156.6,144.2,7.9,92,4.006,10:18:24,2025-08-28,0.28,1,-0.001,-0.001,-0.003,0.003,-0.061,-0.439,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,321.171295,25,-3.123278,323.545563,321.44986,2.095703,2.446383,2.454269,1.642663,0.898816,0.281067,-0.027077,0.204217,0.183691,72.914597,0.000654,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102354_9f4,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
9,10:24:26,2025-08-28,Manual gsw+F,LI-COR Default,,9,,,0.003542,2.921346,0.003537,0.082585,0.764777,0.762916,2.608593,1.843816,9.458184,9.481253,32.339798,0.441786,7.5,PSF-00232_20250828102426_426,0,0,0,83.655594,287.722595,0.709249,0.5,0.8,25.377289,1,25.37,25.31,24.11,21.72,21.72,80.66,156.7,154.8,1.2,89,4.004,10:18:24,2025-08-28,0.28,1,0,0.001,-0.001,0.174,0.897,1.824,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,287.345764,25,-0.471575,286.506042,287.046875,-0.540833,2.44593,2.453934,1.642938,0.924966,0.2826,-0.027021,0.207011,0.181644,84.068298,0.000637,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102426_426,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
10,10:24:38,2025-08-28,Manual gsw+F,LI-COR Default,,10,,,-0.256552,2.923248,-0.281234,-2.651504,0.685687,0.745398,1.43617,0.750483,9.241064,8.500793,17.804901,0.441786,7.5,PSF-00232_20250828102438_cd7,0,0,0,1.672268,1.71268,0.023596,0.5,0.8,1.048422,1,22.81,24.8,24.06,12.31,12.31,80.66,156.9,-10.5,106.7,111,4.004,10:18:24,2025-08-28,0.28,1,-9999,-9999,-9999,-9999,-9999,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,1.71268,25,-0.005597,1.702309,1.70466,-0.002351,2.44512,2.449772,1.64494,0.583577,0.283147,-0.126912,0.207996,0.199677,1.672268,0.000665,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102438_cd7,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
