sr,bed,row,col,unique_id,svc,li600,time,date,config_name,config_author,remark,observation,x8,x9,gsw,gbw,gtw,e_apparent,v_pcham,v_pref,v_pleaf,vp_dleaf,h2o_r,h2o_s,h2o_leaf,leaf_area,leaf_width,flash_id,fo,fm,fv_fm,fs,fm_2,phi_ps2,ps2_1,abs,etr,trans,rh_s,rh_r,tref,tmeas,tleaf,p_atm,flow,flow_s,leak_pct,qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,bla,blb,blc,bld,ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,p1_dur,p2_dur,p3_dur,p1_fmax,p2_ramp,p2_slp,p3_fmax,p3_pred,p3_delta_f,v_hum_a,v_hum_b,v_flow_in,v_flow_out,v_temp,v_irt,v_pres,v_par,v_f,i_led,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flow_in,z_flow_out,z_quantum,z_flr,flash_id_2,lci_ser_num,lcp_ser_num,lcf_ser_num,lcrh_ser_num,version,config_updated_at,x7,x8.x,x9.x,survey_notes,x8.y,x9.y,genotype,type.x,type.y,measurement_header_end
1,C,6,B,2549,0,1,10:52:49,2025-07-23,Manual gsw+F,LI-COR Default,NA,001,NA,NA,0.001743,2.276041,0.001742,0.043456,1.076161,1.07467,3.025807,1.949646,13.399453,13.418054,37.727093000000004,0.441786,7.5,PSF-00232_20250723105249_cb5,0,0,0,56.755901,79.532982,0.286385,0.5,0.8,219.406616,1,42.58,42.52,21.21,24.17,24.17,80.2,101.8,101.2,0.6,1915,4.094,10:44:35,2025-07-23,-0.03,1,0,0.001,0.001,0.076,0.171,-0.276,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,77.348114,25,-1.382078,77.462555,77.552589,-0.090034,2.472813,2.481461,1.211982,0.799626,0.317447,0.034374,0.086113,1.703807,56.755901,6.39e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723105249_cb5,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,C,8,A,2291,2,2,10:54:36,2025-07-23,Manual gsw+F,LI-COR Default,NA,002,NA,NA,-0.005122,2.264553,-0.005134,-0.104603,1.084315,1.087931,2.67994,1.595625,13.566366,13.52127,33.418518,0.441786,7.5,PSF-00232_20250723105436_fce,0,0,0,81.24411,203.884842,0.60152,0.5,0.8,439.785583,1,41.92,42.06,21.58,22.16,22.16,80.19,101.1,95.1,6,1828,4.093,10:44:35,2025-07-23,-0.03,1,0.001,0,-0.001,-11.678,-7.5,8.654,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,200.590256,25,-2.220031,202.142715,200.703735,1.43898,2.47206,2.48041,1.206635,0.786208,0.312708,0.007,0.096039,1.630862,81.24411,6.27e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723105436_fce,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,C,8,B,2252,3,3,10:55:27,2025-07-23,Manual gsw+F,LI-COR Default,NA,003,NA,NA,0.002086,2.332734,0.002085,0.063718,1.036748,1.034637,3.420075,2.383327,12.900627,12.926951,42.644058,0.441786,7.5,PSF-00232_20250723105527_698,0,0,0,95.756294,110.979805,0.137174,0.5,0.8,111.070045,1,39.51,39.43,21.82,26.23,26.23,80.2,105.6,69.4,34.3,2024,4.091,10:55:12,2025-07-23,0.09,1,0,0.001,0.002,0.24,-0.105,-0.444,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,109.469177,25,-1.009352,109.974144,109.53349300000001,0.440651,2.468101,2.476575,1.239092,0.732351,0.309747,0.051552,0.100464,1.794636,95.709801,6.14e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723105527_698,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,C,9,B,2634,4,4,10:56:07,2025-07-23,Manual gsw+F,LI-COR Default,NA,004,NA,NA,0.030515,2.261568,0.030109,0.779418,1.045015,1.018006,3.067568,2.022553,12.695395,13.032222,38.255184,0.441786,7.5,PSF-00232_20250723105607_02d,0,0,0,78.009727,111.814972,0.302332,0.5,0.8,233.710358,1,39.38,38.36,22,24.4,24.4,80.19,100.9,91.1,9.7,1933,4.089,10:55:12,2025-07-23,0.09,1,0,-0,0.001,0.371,-0.327,-0.679,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,106.775162,25,-3.485121,107.259392,106.821114,0.438278,2.466475,2.476347,1.205254,0.777704,0.307489,0.027887,0.103835,1.718192,78.009727,6.03e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723105607_02d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,c,12,A,2326,NA,5,10:57:47,2025-07-23,Manual gsw+F,LI-COR Default,NA,005,NA,NA,0.068291,2.415102,0.066413,1.441321,1.037739,0.992405,2.737458,1.699719,12.373004,12.938221,34.129803,0.441786,7.5,PSF-00232_20250723105747_4d3,0,0,0,113.700989,351.654816,0.676669,0.5,0.8,457.361237,1,38.31,36.64,22.34,22.51,22.51,80.21,111.2,11.9,89.3,1690,4.085,10:55:12,2025-07-23,0.09,1,-0.001,-0.003,0.005,0.884,1.018,0.36,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,345.908752,25,-3.836082,346.05896,346.158051,-0.099091,2.463814,2.474668,1.280813,0.622813,0.303357,0.002296,0.1123,1.515768,113.700989,6.22e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723105747_4d3,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,C,12,B,1819,5,6,10:59:13,2025-07-23,Manual gsw+F,LI-COR Default,NA,006,NA,NA,0.003698,2.208518,0.003692,0.123565,1.064427,1.059997,3.670093,2.605666,13.212963,13.268184,45.748066,0.441786,7.5,PSF-00232_20250723105913_691,0,0,0,68.760391,75.589027,0.090339,0.5,0.8,70.427872,1,38.44,38.28,22.7,27.43,27.43,80.22,97.5,86.3,11.5,1949,4.084,10:55:12,2025-07-23,0.09,1,-0,0,0,-0.153,-0.135,-0.031,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,75.213074,25,-0.253018,75.396538,75.226479,0.170059,2.466203,2.474788,1.181213,0.767506,0.298988,0.055658,0.119315,1.731885,68.760391,6.17e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723105913_691,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,C,15,A,2472,6,7,11:00:27,2025-07-23,Manual gsw+F,LI-COR Default,NA,007,NA,NA,-0.006327,2.159552,-0.006345,-0.147639,1.092741,1.098201,2.912761,1.82002,13.689266,13.621209,36.308079,0.441786,7.5,PSF-00232_20250723110027_146,0,0,0,82.622765,171.125671,0.517181,0.5,0.8,260.490051,1,38.49,38.68,23.11,23.54,23.54,80.22,94.5,93.2,1.4,1259,4.081,10:55:12,2025-07-23,0.09,1,-0.001,-0.002,-0.001,0.252,0.457,0.945,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,167.254333,25,-2.655331,166.837692,167.320831,-0.483139,2.466709,2.47477,1.159842,0.782257,0.294079,0.005078,0.125017,1.156814,82.622765,6.28e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110027_146,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,C,15,B,1981,7,9,11:01:09,2025-07-23,Manual gsw+F,LI-COR Default,NA,009,NA,NA,0.001009,2.264806,0.001009,0.034904,1.065598,1.06439,3.759221,2.693623,13.261902,13.276952,46.838474,0.441786,7.5,PSF-00232_20250723110109_7b6,0,0,0,32.705784,39.144516,0.164486,0.5,0.8,128.392136,1,37.02,36.97,23.34,27.84,27.84,80.26,101.1,100,1.1,1951,4.08,10:55:12,2025-07-23,0.09,1,0,0,0.001,0.564,0.814,1.9,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,39.144516,25,0.293374,37.834167,39.564896,-1.730728,2.46411,2.472506,1.206753,0.796951,0.29139,0.05307,0.128111,1.733905,32.705784,6.05e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110109_7b6,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,C,17,A,1787,NA,10,11:02:02,2025-07-23,Manual gsw+F,LI-COR Default,NA,010,NA,NA,0.06665,2.347868,0.06481,1.71448,1.117679,1.061444,3.183416,2.065737,13.228608,13.929454,39.674416,0.441786,7.5,PSF-00232_20250723110202_671,0,0,0,91.556671,185.183182,0.505589,0.5,0.8,382.655487,1,38.19,36.27,23.61,25.02,25.02,80.24,106.6,61.7,42.1,1892,4.079,10:55:12,2025-07-23,0.09,1,0.001,-0,0.004,1.115,0.158,-1.692,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,171.846985,25,-9.320864,171.077011,171.82724,-0.750229,2.463002,2.474224,1.246542,0.716957,0.288244,0.016417,0.132276,1.684482,91.556671,6.1e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110202_671,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,C,18,B,1883,8,11,11:02:41,2025-07-23,Manual gsw+F,LI-COR Default,NA,011,NA,NA,0.017717,2.13838,0.017571,0.46455,1.081053,1.063638,3.14585,2.064798,13.260414,13.477529,39.219444,0.441786,7.5,PSF-00232_20250723110241_f3a,0,0,0,102.588417,230.967697,0.555832,0.5,0.8,143.203857,1,36.44,35.85,23.84,24.82,24.82,80.21,93.3,82.2,11.9,644,4.077,10:55:12,2025-07-23,0.09,1,0,0,-0,-0.025,-2.657,-6.954,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,221.22323600000001,25,-6.660092,220.603104,221.424393,-0.821289,2.462317,2.471528,1.15083,0.758857,0.28561,0.011428,0.135267,0.644035,102.588417,6.33e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110241_f3a,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
