Sr,bed,row,col,Unique.ID,svc,Li600
1,C,6,B,2549,0,1
2,C,8,A,2291,2,2
3,C,8,B,2252,3,3
4,C,9,B,2634,4,4
5,c,12,A,2326,,5
6,C,12,B,1819,5,6
7,C,15,A,2472,6,7
8,C,15,B,1981,7,9
9,C,17,A,1787,,10
10,C,18,B,1883,8,11
11,C,19,A,2063,9,12
12,c,19,B,2236,10,13
13,C,20,B,2213,11,14
14,C,21,A,2370,12,15
15,C,22,A,2638,13,16
16,C,23,A,2489,14,17
17,C,23,B,2564,15,18
18,C,25,A,2505,16,19
19,C,26,A,2602,17,20
20,C,26,B,2284,18,21
21,C,27,A,2323,19,22
22,C,28,A,2478,20,23
23,C,29,A,1780,21,24
24,C,31,B,2442,,25
25,C,32,B,1700,22,26
26,C,33,A,2523,23,27
27,C,34,A,1745,24,28
28,C,38,A,2009,25,29
29,C,38,B,2230,26,30
30,C,39,A,2487,27,31
31,C,39,B,1866,28,32
32,C,40,A,2069,29,33
33,C,41,B,2574,30,34
34,C,42,A,1747,31,35
35,C,44,A,2558,32,36
36,C,44,B,2169,33,37
37,C,45,A,2165,34,38
38,C,45,B,2328,35,39
39,C,46,B,2392,37,40
40,C,47,A,2154,38,41
41,C,49,B,2551,39,42
42,C,50,A,1620,40,43
43,C,51,A,2579,41,45
44,C,51,B,2361,42,46
45,C,53,B,2286,43,47
46,C,55,B,2020,44,48
47,C,56,B,2173,45,49
48,C,57,B,2398,46,50
49,C,5,C,2228,47,51
50,C,6,C,2476,51,52
51,C,7,C,2051,52,53
52,C,7,D,2419,53,54
53,C,8,C,1826,54,55
54,C,11,D,2170,55,56
55,C,12,C,1621,56,57
56,C,12,D,2258,57,58
57,C,13,D,2041,58,59
58,C,14,D,1873,59,60
59,C,16,D,2115,60,61
60,C,17,D,2217,61,63
61,C,20,C,2360,62,65
62,C,20,D,2254,63,66
63,C,21,C,2303,64,67
64,C,22,c,2499,65,68
65,C,22,D,2606,66,69
66,C,23,C,2405,68,70
67,C,24,C,2070,69,71
68,C,25,C,1820,70,73
69,C,25,D,1828,71,72
70,C,30,C,2620,74,74
71,C,30,D,2646,75,75
72,C,31,C,2420,77,
73,C,31,D,2096,78,
74,C,32,D,2430,79,
75,C,33,C,2339,80,76
76,C,34,C,2471,81,77
77,C,34,D,2201,82,78
78,C,35,C,2218,83,79
79,C,35,D,2153,,80
80,C,37,C,2260,84,81
81,C,38,C,1982,85,
82,C,39,C,2220,86,82
83,C,39,D,1821,87,83
84,C,40,C,1992,88,84
85,C,40,D,2204,89,85
86,C,41,D,2554,90,86
87,C,42,D,2043,91,87
88,C,46,D,1766,92,88
89,C,47,C,2255,93,89
90,C,48,D,1919,,90
91,C,50,C,1794,94,91
92,C,51,C,2397,95,92
93,C,51,D,1831,96,93
94,C,52,C,2516,97,94
95,C,53,C,2311,98,95
96,C,53,D,2640,,96
97,C,55,D,2519,99,97
98,C,56,D,2559,100,98
99,C,57,D,1835,101,99
100,C,58,C,2031,102,100
101,C,58,D,2457,103,101
102,D,4,A,1993,104,102
103,D,5,A,2483,100,103
104,D,9,A,2155,109,104
105,D,9,B,2320,110,105
106,D,11,B,1822,111,106
107,D,12,B,304,,107
108,D,13,A,2470,,108
109,D,13,B,2209,112,110
110,D,14,A,2417,113,111
111,D,14,B,2205,114,112
112,D,16,A,1995,115,113
113,D,18,A,2521,122,114
114,D,20,A,2532,123,115
115,D,22,B,2593,124,116
116,D,23,B,2413,126,117
117,D,24,B,2440,128,118
118,D,25,B,2222,129,119
119,D,28,A,1864,130,120
120,D,29,A,2312,132,121
121,D,29,B,1942,,122
122,D,30,B,1760,,123
123,D,31,B,2569,,124
124,D,32,A,1968,,125
125,D,34,A,2406,,126
126,D,34,B,2224,,127
127,D,36,B,2507,,128
128,D,38,A,1774,,129
129,D,38,B,2418,,130
130,D,39,A,2515,,131
131,D,39,B,1838,,132
132,D,40,A,2261,,133
133,D,41,B,1940,,134
134,D,42,A,2324,,135
135,D,42,B,1985,,136
136,D,43,B,1804,,137
137,D,44,A,2207,,138
138,D,44,B,2596,,139
139,D,45,A,2241,,140
140,D,48,A,2490,,141
141,D,48,B,1702,,142
142,D,49,A,2525,,143
143,D,49,B,1707,,144
144,D,52,B,2463,,145
145,D,53,B,2212,,146
146,D,54,A,1876,,147
147,D,55,A,2573,,148
148,D,55,B,2425,,149
149,D,56,A,2544,,150
150,D,56,B,2492,,151
151,D,58,B,2131,,152
152,D,5,C,2292,,153
153,D,5,D,2121,,154
154,D,7,C,1751,,155
155,D,8,C,2538,,156
156,D,9,D,1768,,157
157,D,12,C,2257,,159
158,D,13,D,2576,,160
159,D,16,C,2343,,161
160,D,18,C,2510,,162
161,D,19,C,1767,,163
162,D,21,D,1977,,164
163,D,24,D,2461,,165
164,D,25,C,2047,,166
165,D,26,D,1600,,167
166,D,27,C,1837,,168
167,D,29,C,1971,,169
168,D,29,D,2617,,170
169,D,30,D,2451,,171
170,D,31,C,2540,,172
171,D,32,D,2526,,173
172,D,33,C,2422,,174
173,D,34,C,1648,,175
174,D,34,D,2345,,176
175,D,35,D,2479,,177
176,D,36,D,2468,,178
177,D,37,C,2050,,179
178,D,38,D,2055,,180
179,D,41,C,1913,,181
180,D,41,D,2484,,182
181,D,43,D,2046,,183
182,D,44,D,2531,,184
183,D,45,D,2543,,185
184,D,46,C,2277,,186
185,D,46,D,1972,,187
186,D,48,D,2369,,188
187,D,49,D,2387,,189
188,D,50,C,2103,,190
189,D,50,D,2542,,191
190,D,51,C,2445,,192
191,D,51,D,1839,,193
192,D,52,C,2242,,194
193,D,52,D,1806,,195
194,D,53,D,2346,,196
195,D,54,C,2567,,197
196,D,55,C,2235,,198
197,D,56,C,2166,,199
198,D,56,D,2485,,200
199,D,57,C,1970,,201
