bed,row,col,Unique.ID,SVC,Li600,,,,survey.notes
C,6,B,2549,5,243,,,,
C,7,B,2095,6,244,,,,
C,8,A,2291,7,245,,,,
C,8,B,2252,8,246,,,,
C,9,B,2634,9,247,,,,
C,12,A,2326,10,248,,,,
C,12,B,1819,11,249,,,,
C,13,B,2591,12,250,,,,
C,15,A,2472,13,,,,,
C,15,B,1981,14,251,,,,
C,17,A,1787,15,,,,,
C,18,B,1883,16,,,,,
C,19,A,2063,18,252,,,,
C,19,B,2236,19,253,,,,
C,20,B,2213,21,254,,,,
C,21,A,2370,71,255,,,,
C,22,A,2638,70,256,,,,
C,23,A,2489,69,257,,,,
C,23,B,2564,68,258,,,,
C,25,A,2505,67,259,,,,
C,26,A,2602,66,260,,,,
C,26,B,2284,63,261,,,,
C,27,A,2323,62,262,,,,
C,28,A,2478,61,263,,,,
C,29,A,1780,60,264,,,,
C,31,B,2442,59,265,,,,
C,32,B,1700,58,266,,,,
C,33,A,2523,57,267,,,,
C,34,A,1745,56,268,,,,
C,38,A,2009,55,269,,,,
C,38,B,2230,,270,,,,
C,39,A,2487,50,271,,,,
C,39,B,1866,48,272,,,,
C,40,A,2069,47,273,,,,
C,41,A,2493,46,,,,,
C,41,B,2574,45,274,,,,
C,42,A,1747,44,275,,,,
C,43,B,2522,43,276,,,,
C,44,A,2558,41,277,,,,
C,44,B,2169,40,278,,,,
C,45,A,2165,38,279,,,,
C,45,B,2328,31,280,,,,
C,46,A,2408,35,,,,,
C,46,B,2392,34,281,,,,
C,47,A,2154,33,282,,,,
C,49,B,2551,32,,,,,
C,50,A,1620,31,283,,,,
C,51,A,2579,28,284,,,,
C,51,B,2361,27,285,,,,
C,53,B,2286,26,286,,,,
C,55,B,2020,25,288,,,,
C,56,A,1936,24,,,,,
C,56,B,2173,23,289,,,,
C,57,B,2398,22,290,,,,
C,5,C,2228,72,292,,,,
C,6,C,2476,73,293,,,,
C,7,C,2051,76,294,,,,
C,7,D,2419,77,295,,,,
C,8,C,1826,78,296,,,,
C,11,D,2170,79,297,,,,
C,12,C,1621,80,298,,,,
C,12,D,2258,81,299,,,,
C,13,D,2041,82,300,,,,
C,14,D,1873,,301,,,,
C,16,D,2115,86,302,,,,
C,17,D,2217,87,303,,,,
C,19,C,1861,89,,,,,
C,20,C,2360,91,304,,,,
C,20,D,2254,92,306,,,,
C,21,C,2303,93,307,,,,
C,21,D,2550,94,,,,,
C,22,C,2499,95,308,,,,
C,22,D,2606,96,309,,,,
C,23,C,2405,97,310,,,,
C,24,C,2070,98,311,,,,
C,25,C,1820,99,312,,,,
C,25,D,1828,101,313,,,,
C,28,C,1932,103,314,,,,
C,30,C,2620,104,315,,,,
C,30,D,2646,105,316,,,,
C,31,C,2420,106,317,,,,
C,31,D,2096,108,318,,,,
C,32,D,2430,110,319,,,,
C,33,C,2339,111,320,,,,
C,34,C,2471,113,321,,,,
C,34,D,2201,115,322,,,,
C,35,C,2218,116,323,,,,
C,37,C,2260,118,324,,,,
C,38,C,1982,119,325,,,,
C,39,C,2220,122,326,,,,
C,39,D,1821,123,327,,,,
C,40,C,1992,125,328,,,,
C,40,D,2204,126,329,,,,
C,41,D,2554,127,330,,,,
C,42,D,2043,128,331,,,,
C,46,D,1766,129,332,,,,
C,47,C,2255,131,333,,,,
C,48,D,1919,133,,,,,
C,50,C,1794,135,334,,,,
C,50,D,2097,137,335,,,,
C,51,C,2397,138,337,,,,
C,51,D,1831,139,338,,,,
C,52,C,2516,140,339,,,,
C,53,C,2311,142,340,,,,
C,53,D,2640,143,341,,,,
C,55,D,2519,147,342,,,,
C,56,D,2559,149,343,,,,
C,57,D,1835,151,344,,,,
C,58,C,2031,152,345,,,,
C,58,D,2457,153,346,,,,
D,4,A,1993,154,347,,,,
D,5,A,2483,155,,,,,
D,9,A,2155,156,348,,,,
D,9,B,2320,,349,,,,
D,11,B,1822,161,350,,,,
D,13,B,2209,164,351,,,,
D,14,A,2417,165,352,,,,
D,14,B,2205,166,353,,,,
D,16,A,1995,168,354,,,,
D,16,B,1961,169,355,,,,
D,17,A,2240,170,356,,,,
D,18,A,2521,172,357,,,,
D,18,B,2610,173,,,,,
D,20,A,2532,175,358,,,,
D,21,B,2609,176,,,,,
D,22,A,2206,177,359,,,,
D,22,B,2593,178,360,,,,
D,23,A,1894,179,361,,,,
D,23,B,2413,180,362,,,,
D,24,A,2597,181,363,,,,
D,24,B,2440,182,364,,,,
D,25,B,2222,183,365,,,,
D,26,A,2577,185,366,,,,
D,26,B,1803,186,,,,,
D,28,A,1864,188,367,,,,
D,28,B,2403,190,368,,,,
D,29,A,2312,192,,,,,
D,29,B,1942,193,,,,,
D,30,B,1760,194,369,,,,
D,31,B,2569,197,370,,,,
D,32,A,1968,198,371,,,,
D,32,B,2633,,372,,,,
D,34,A,2406,200,373,,,,
D,34,B,2224,201,374,,,,
D,36,B,2507,202,375,,,,
D,38,A,1774,203,376,,,,
D,38,B,2418,204,377,,,,
D,39,A,2515,205,378,,,,
D,39,B,1838,206,379,,,,
D,40,A,2261,207,380,,,,
D,41,B,1940,208,381,,,,
D,42,A,2324,209,382,,,,
D,42,B,1985,210,383,,,,
D,43,B,1804,211,384,,,,
D,44,A,2207,212,385,,,,
D,44,B,2596,,386,,,,
D,45,A,2241,214,387,,,,
D,46,A,2583,215,,,,,
D,48,A,2490,217,388,,,,
D,48,B,1702,218,389,,,,
D,49,A,2525,219,390,,,,
D,49,B,1707,220,391,,,,
D,50,B,2625,221,,,,,
D,52,B,2463,222,392,,,,
D,53,B,2212,224,393,,,,
D,54,A,1876,225,394,,,,
D,55,A,2573,226,395,,,,
D,55,B,2425,228,396,,,,
D,56,A,2544,229,397,,,,
D,56,B,2492,230,398,,,,
D,58,B,2131,232,399,,,,
D,4,C,1901,233,400,,,,
D,5,C,2292,234,401,,,,
D,5,D,2121,235,402,,,,
D,7,C,1751,236,403,,,,
D,8,C,2538,237,404,,,,
D,9,D,1768,238,405,,,,
D,12,C,2257,239,406,,,,
D,13,D,2576,240,407,,,,
D,15,C,2376,242,,,,,
D,16,C,2343,243,409,,,,
D,17,D,1791,244,410,,,,
D,18,C,2510,,411,,,,
D,19,C,1767,246,412,,,,
D,19,D,1644,247,413,,,,
D,21,D,1977,248,414,,,,
D,24,D,2461,,415,,,,
D,25,C,2047,249,416,,,,
D,26,D,1600,,417,,,,
D,27,C,1837,252,418,,,,
D,29,C,1971,253,419,,,,
D,29,D,2617,,420,,,,
D,30,D,2451,255,421,,,,
D,31,C,2540,256,422,,,,
D,32,D,2526,257,423,,,,
D,33,C,2422,259,424,,,,
D,34,D,2345,260,425,,,,
D,35,D,2479,261,426,,,,
D,36,D,2468,262,427,,,,
D,37,C,2050,264,428,,,,
D,38,D,2055,265,429,,,,
D,40,C,2340,,430,,,,
D,41,C,1913,267,431,,,,
D,41,D,2484,268,432,,,,
D,43,D,2046,269,433,,,,
D,44,D,2531,270,434,,,,
D,45,D,2543,271,435,,,,
D,46,C,2277,272,436,,,,
D,46,D,1972,,437,,,,
D,48,D,2369,275,438,,,,
D,49,D,2387,276,439,,,,
D,50,C,2103,277,440,,,,
D,50,D,2542,278,441,,,,
D,51,C,2445,279,443,,,,
D,51,D,1839,,444,,,,
D,52,C,2242,283,445,,,,
D,52,D,1806,285,446,,,,
D,53,D,2346,286,447,,,,
D,54,C,2567,287,448,,,,
D,55,C,2235,288,449,,,,
D,56,C,2166,290,450,,,,
D,56,D,2485,291,451,,,,
D,57,C,1970,292,452,,,,
E,4,A,2225,293,1,,,,
E,4,B,1998,294,2,,,,
E,5,B,2641,295,3,,,,
E,6,B,2061,296,4,,,,
E,7,A,2266,299,5,,,,
E,7,B,2534,300,6,,,,
E,8,A,2282,301,7,,,,
E,8,B,2028,302,8,,,,
E,9,B,2132,304,9,,,,
E,10,B,2374,305,10,,,,
E,11,A,2088,306,11,,,,
E,14,A,2211,307,12,,,,
E,14,B,2025,308,13,,,,
E,16,A,1857,311,14,,,,
E,17,B,1840,312,,,,,
E,18,A,2000,,15,,,,
E,19,B,1975,313,16,,,,
E,20,B,2367,,17,,,,
E,21,A,2104,316,19,,,,
E,25,A,2332,320,20,,,,
E,25,B,1808,321,22,,,,
E,27,B,1841,,23,,,,
E,28,B,2453,322,24,,,,
E,29,A,2106,323,25,,,,
E,29,B,2375,324,26,,,,
E,41,A,1601,326,27,,,,
E,42,B,2434,328,28,,,,
E,43,B,1686,329,29,,,,
E,44,B,2273,,30,,,,
E,45,A,2208,330,31,,,,
E,46,B,2613,331,32,,,,
E,47,B,2586,332,34,,,,
E,48,A,2164,533,,,,,
E,48,B,1974,334,35,,,,
E,49,B,2503,335,36,,,,
E,51,B,1800,337,37,,,,
E,5,D,2432,338,38,,,,
E,8,C,2541,339,39,,,,
E,8,D,2366,340,40,,,,
E,9,D,2347,342,41,,,,
E,10,D,2630,344,43,,,,
E,11,C,2268,346,44,,,,
E,11,D,2552,347,45,,,,
E,12,D,2007,349,46,,,,
E,14,C,2193,350,47,,,,
E,14,D,2394,351,48,,,,
E,16,C,2272,353,49,,,,
E,18,C,2057,354,50,,,,
E,18,D,2122,,51,,,,
E,19,C,2040,356,53,,,,
E,21,C,1781,357,54,,,,
E,21,D,2416,358,55,,,,
E,22,C,2036,360,57,,,,
E,23,C,2409,361,58,,,,
E,23,D,2325,363,59,,,,
E,24,C,2585,366,60,,,,
E,24,D,2502,367,61,,,,
E,25,C,2080,368,62,,,,
E,25,D,2067,369,63,,,,
E,26,C,1623,371,64,,,,
E,26,D,2091,372,65,,,,
E,28,D,1870,373,66,,,,
E,29,C,2348,379,67,,,,
E,41,C,2477,375,68,,,,
E,42,C,2473,376,69,,,,
E,42,D,2245,377,70,,,,
E,43,D,2134,378,72,,,,
E,44,C,2426,379,73,,,,
E,44,D,1763,380,74,,,,
E,46,C,2297,381,75,,,,
E,47,C,2594,382,76,,,,
E,47,D,2011,383,77,,,,
E,48,C,2081,384,78,,,,
E,49,D,2600,,79,,,,
E,50,C,1809,387,80,,,,
E,50,D,2308,388,81,,,,
F,4,A,1842,439,82,,,,
F,4,B,2528,441,83,,,,
F,5,A,1783,,84,,,,
F,6,A,2333,442,85,,,,
F,8,A,2048,443,86,,,,
F,8,B,2015,445,87,,,,
F,9,B,1892,446,88,,,,
F,10,B,1659,447,89,,,,
F,11,B,2533,448,90,,,,
F,12,B,2136,449,91,,,,
F,13,A,2109,450,92,,,,
F,15,A,2631,451,93,,,,
F,15,B,2611,452,94,,,,
F,16,B,2196,453,95,,,,
F,17,A,2289,455,96,,,,
F,17,B,1912,456,97,,,,
F,18,A,2035,457,98,,,,
F,19,A,1989,458,99,,,,
F,19,B,2341,459,100,,,,
F,20,B,2603,460,101,,,,
F,21,A,2110,462,102,,,,
F,22,B,2010,463,103,,,,
F,23,A,1602,464,104,,,,
F,24,A,2247,465,105,,,,
F,24,B,2027,456,106,,,,
F,25,B,2530,467,107,,,,
F,26,A,1811,,108,,,,
F,26,B,1692,468,109,,,,
F,27,B,2581,469,110,,,,
F,28,A,1724,470,111,,,,
F,41,A,1880,472,112,,,,
F,42,B,1924,474,113,,,,
F,43,B,2285,475,114,,,,
F,44,A,2214,477,115,,,,
F,44,B,2570,478,116,,,,
F,45,A,1871,479,117,,,,
F,45,B,2290,481,118,,,,
F,4,C,2349,438,119,,,,
F,5,C,1688,,120,,,,
F,5,D,2497,,121,,,,
F,8,D,2267,435,122,,,,
F,9,C,2087,433,123,,,,
F,9,D,2195,429,124,,,,
F,10,C,2189,427,125,,,,
F,10,D,2474,426,126,,,,
F,11,C,2281,425,127,,,,
F,11,D,2511,424,128,,,,
F,12,C,2246,422,129,,,,
F,14,C,2404,421,130,,,,
F,15,C,2334,,131,,,,
F,16,C,2294,419,132,,,,
F,16,D,2126,418,133,,,,
F,17,C,1771,417,134,,,,
F,18,C,2298,416,135,,,,
F,19,C,2167,415,136,,,,
F,19,D,2506,414,137,,,,
F,20,C,2262,413,138,,,,
F,22,D,2443,412,139,,,,
F,23,D,1843,411,140,,,,
F,25,C,2545,410,141,,,,
F,26,C,2139,409,142,,,,
F,26,D,2587,408,143,,,,
F,27,C,2016,406,144,,,,
F,27,D,1914,404,145,,,,
F,28,D,2003,403,146,,,,
F,40,C,1983,399,147,,,,
F,40,D,2529,390,148,,,,
F,41,C,1693,395,149,,,,
F,42,C,2013,393,150,,,,
F,42,D,2315,392,151,,,,
F,43,D,1725,391,153,,,,
F,45,C,2407,390,154,,,,
F,45,D,2546,389,155,,,,
G,4,B,2053,482,156,,,,
G,5,B,2491,483,157,,,,
G,6,A,2092,484,158,,,,
G,6,B,1604,485,159,,,,
G,7,B,2351,487,161,,,,
G,8,B,2112,488,163,,,,
G,9,A,2299,489,164,,,,
G,9,B,1845,490,165,,,,
G,10,A,2588,491,166,,,,
G,11,B,2372,492,168,,,,
G,12,B,2436,493,169,,,,
G,14,A,2547,494,170,,,,
G,14,B,2250,495,171,,,,
G,15,B,1814,496,172,,,,
G,16,A,1797,497,173,,,,
G,17,A,2572,498,174,,,,
G,17,B,1925,499,175,,,,
G,19,A,2441,500,176,,,,
G,19,B,2215,501,177,,,,
G,21,B,2184,503,179,,,,
G,22,A,2084,504,180,,,,
G,23,A,1776,505,181,,,,
G,23,B,2198,506,182,,,,
G,24,A,1694,507,183,,,,
G,24,B,2536,508,184,,,,
G,25,A,2355,509,185,,,,
G,26,A,2561,510,186,,,,
G,28,A,2144,512,187,,,,
G,28,B,2565,513,188,,,,
G,29,A,2251,514,189,,,,
G,29,B,2216,,190,,,,
G,30,B,2157,516,191,,,,
G,31,A,2469,517,192,,,,
G,31,B,2615,519,193,,,,
G,32,A,2287,520,194,,,,
G,32,B,2199,521,195,,,,
G,33,B,2500,522,196,,,,
G,34,B,2114,523,197,,,,
G,35,A,2535,,198,,,,
G,36,A,2548,524,199,,,,
