bed,row,col,Unique.ID,Li600,Genotype,Type
C ,6,B ,2549,160,(WL2 x WV) x (CC x WL2),F2
C ,7,B ,2095,NA,(SQ3 x WL2) x (WL2),F2
C ,8,A ,2291,161,(WL2 x TM2) x (WL2 x BH),F2
C ,8,B ,2252,162,(WL2 x TM2) x (TM2),F2
C ,9,B ,2634,163,TM2,Parent
C ,10,B ,2302,NA,(WL2 x WV) x (CC x WL2),F2
C ,12,A ,2326,164,(WL2) x (WL2 x TM2),F2
C ,12,B ,1819,165,WL1,Parent
C ,13,B ,2591,166,(DPR x TM2) x (TM2 x WL2),F2
C ,15,A ,2472,NA,(WV x WL2) x (WL2 x CC),F2
C ,15,B ,1981,167,LV1 x WL2,F1
C ,18,B ,1883,NA,WL2,Parent
C ,19,A ,2063,168,(CC x WL2) x (WL2),F2
C ,19,B ,2236,169,(WL2 x TM2) x (CC x TM2),F2
C ,20,A ,2592,NA,(DPR x TM2) x (TM2 x WL2),F2
C ,20,B ,2213,170,(WL2 x BH) x (WL2 x CC),F2
C ,21,A ,2370,171,(WV x WL2) x (WV),F2
C ,21,B ,698,NA,(DPR x WL2) x (YO11 x WL2),F2
C ,22,A ,2638,173,TM2,Parent
C ,23,A ,2489,NA,WL2 x DPR,F1
C ,23,B ,2564,174,(WV x WL2) x (WL2 x BH),F2
C ,24,B ,118,NA,WL2,Parent
C ,25,A ,2505,175,(TM2) x (TM2 x WL2),F2
C ,25,B ,1459,NA,(DPR x WL2) x (WV x WL2),F2
C ,26,A ,2602,NA,(TM2 x WL2) x (TM2),F2
C ,26,B ,2284,176,(WL2 x TM2) x (TM2),F2
C ,27,A ,2323,177,(WL2) x (WL2 x TM2),F2
C ,28,A ,2478,NA,DPR x WL2,F1
C ,28,B ,2557,NA,(WV x TM2) x (WL2 x TM2),F2
C ,29,A ,1780,NA,TM2,Parent
C ,30,B ,341,NA,(WL1 x WL2) x (BH x WL2),F2
C ,31,A ,1228,NA,LV1 x TM2,F1
C ,31,B ,2442,NA,(LV1 x WL2) x (WL2),F2
C ,32,B ,1700,178,SQ3,Parent
C ,33,A ,2523,179,(WL2 x BH) x (WL2 x CC),F2
C ,33,B ,183,NA,WL2,Parent
C ,34,A ,1745,180,TM2,Parent
C ,37,B ,1289,NA,TM2 x WL2,F1
C ,38,A ,2009,181,WL1 x WL2,F1
C ,38,B ,2230,182,(WL2 x CC) x (YO11 x WL2),F2
C ,39,A ,2487,NA,WL2 x CC,F1
C ,39,B ,1866,183,WL2,Parent
C ,40,A ,2069,184,(CC x WL2) x (WL2),F2
C ,41,A ,2493,NA,YO11 x WL2,F1
C ,41,B ,2574,NA,(WV x WL2) x (WV),F2
C ,42,A ,1747,185,TM2,Parent
C ,43,A ,73,NA,(LV1 x WL2) x (WL2),F2
C ,43,B ,2522,NA,(WL2 x BH) x (WL2 x CC),F2
C ,44,A ,2558,NA,(WV x TM2) x (WL2 x TM2),F2
C ,44,B ,2169,186,(TM2) x (TM2 x WL2),F2
C ,45,A ,2165,187,(TM2 x WL2) x (WL1 x TM2),F2
C ,45,B ,2328,188,(WL2) x (WL2 x TM2),F2
C ,46,A ,2408,NA,WL1,Parent
C ,46,B ,2392,189,TM2 x WL2,F1
C ,47,A ,2154,190,(TM2 x WL2) x (TM2),F2
C ,50,A ,1620,191,BH,Parent
C ,50,B ,404,NA,BH,Parent
C ,51,A ,2579,192,(WV) x (WV x WL2),F2
C ,51,B ,2361,193,(WV x WL2) x (WL2 x CC),F2
C ,53,B ,2286,194,(WL2 x TM2) x (TM2),F2
C ,54,A ,1795,NA,TM2,Parent
C ,55,B ,2020,195,WL2 x LV1,F1
C ,56,A ,1936,NA,WV,Parent
